code,name,population_perc_2001_female,population_perc_2001_male,population_perc_2011_female,population_perc_2011_male,population_perc_change_female,population_perc_change_male,population_value_2001_all,population_value_2001_female,population_value_2001_male,population_value_2011_all,population_value_2011_female,population_value_2011_male,population_value_change_all,population_value_change_female,population_value_change_male,age10yr_perc_2001_0-9,age10yr_perc_2001_10-19,age10yr_perc_2001_20-29,age10yr_perc_2001_30-39,age10yr_perc_2001_40-49,age10yr_perc_2001_50-59,age10yr_perc_2001_60-69,age10yr_perc_2001_70plus,age10yr_perc_2011_0-9,age10yr_perc_2011_10-19,age10yr_perc_2011_20-29,age10yr_perc_2011_30-39,age10yr_perc_2011_40-49,age10yr_perc_2011_50-59,age10yr_perc_2011_60-69,age10yr_perc_2011_70plus,age10yr_perc_change_0-9,age10yr_perc_change_10-19,age10yr_perc_change_20-29,age10yr_perc_change_30-39,age10yr_perc_change_40-49,age10yr_perc_change_50-59,age10yr_perc_change_60-69,age10yr_perc_change_70plus,age10yr_value_2001_0-9,age10yr_value_2001_10-19,age10yr_value_2001_20-29,age10yr_value_2001_30-39,age10yr_value_2001_40-49,age10yr_value_2001_50-59,age10yr_value_2001_60-69,age10yr_value_2001_70plus,age10yr_value_2001_all,age10yr_value_2011_0-9,age10yr_value_2011_10-19,age10yr_value_2011_20-29,age10yr_value_2011_30-39,age10yr_value_2011_40-49,age10yr_value_2011_50-59,age10yr_value_2011_60-69,age10yr_value_2011_70plus,age10yr_value_2011_all,age10yr_value_change_0-9,age10yr_value_change_10-19,age10yr_value_change_20-29,age10yr_value_change_30-39,age10yr_value_change_40-49,age10yr_value_change_50-59,age10yr_value_change_60-69,age10yr_value_change_70plus,age10yr_value_change_all,ethnicity_perc_2001_asian,ethnicity_perc_2001_black,ethnicity_perc_2001_mixed,ethnicity_perc_2001_other,ethnicity_perc_2001_white,ethnicity_perc_2011_asian,ethnicity_perc_2011_black,ethnicity_perc_2011_mixed,ethnicity_perc_2011_other,ethnicity_perc_2011_white,ethnicity_perc_change_asian,ethnicity_perc_change_black,ethnicity_perc_change_mixed,ethnicity_perc_change_other,ethnicity_perc_change_white,ethnicity_value_2001_all,ethnicity_value_2001_asian,ethnicity_value_2001_black,ethnicity_value_2001_mixed,ethnicity_value_2001_other,ethnicity_value_2001_white,ethnicity_value_2011_all,ethnicity_value_2011_asian,ethnicity_value_2011_black,ethnicity_value_2011_mixed,ethnicity_value_2011_other,ethnicity_value_2011_white,ethnicity_value_change_all,ethnicity_value_change_asian,ethnicity_value_change_black,ethnicity_value_change_mixed,ethnicity_value_change_other,ethnicity_value_change_white,health_perc_2001_bad,health_perc_2001_fair,health_perc_2001_good,health_perc_2011_bad,health_perc_2011_fair,health_perc_2011_good,health_perc_change_bad,health_perc_change_fair,health_perc_change_good,health_value_2001_all,health_value_2001_bad,health_value_2001_fair,health_value_2001_good,health_value_2011_all,health_value_2011_bad,health_value_2011_fair,health_value_2011_good,health_value_change_all,health_value_change_bad,health_value_change_fair,health_value_change_good,economic_perc_2001_employee,economic_perc_2001_inactive,economic_perc_2001_self-employed,economic_perc_2001_student,economic_perc_2001_unemployed,economic_perc_2011_employee,economic_perc_2011_inactive,economic_perc_2011_self-employed,economic_perc_2011_student,economic_perc_2011_unemployed,economic_perc_change_employee,economic_perc_change_inactive,economic_perc_change_self-employed,economic_perc_change_student,economic_perc_change_unemployed,economic_value_2001_all,economic_value_2001_employee,economic_value_2001_inactive,economic_value_2001_self-employed,economic_value_2001_student,economic_value_2001_unemployed,economic_value_2011_all,economic_value_2011_employee,economic_value_2011_inactive,economic_value_2011_self-employed,economic_value_2011_student,economic_value_2011_unemployed,economic_value_change_all,economic_value_change_employee,economic_value_change_inactive,economic_value_change_self-employed,economic_value_change_student,economic_value_change_unemployed,travel_perc_2001_bicycle,travel_perc_2001_bus,travel_perc_2001_car_van,travel_perc_2001_foot,travel_perc_2001_home,travel_perc_2001_moto,travel_perc_2001_other,travel_perc_2001_taxi,travel_perc_2001_train_metro,travel_perc_2011_bicycle,travel_perc_2011_bus,travel_perc_2011_car_van,travel_perc_2011_foot,travel_perc_2011_home,travel_perc_2011_moto,travel_perc_2011_other,travel_perc_2011_taxi,travel_perc_2011_train_metro,travel_perc_change_bicycle,travel_perc_change_bus,travel_perc_change_car_van,travel_perc_change_foot,travel_perc_change_home,travel_perc_change_moto,travel_perc_change_other,travel_perc_change_taxi,travel_perc_change_train_metro,travel_value_2001_all,travel_value_2001_bicycle,travel_value_2001_bus,travel_value_2001_car_van,travel_value_2001_foot,travel_value_2001_home,travel_value_2001_moto,travel_value_2001_other,travel_value_2001_taxi,travel_value_2001_train_metro,travel_value_2011_all,travel_value_2011_bicycle,travel_value_2011_bus,travel_value_2011_car_van,travel_value_2011_foot,travel_value_2011_home,travel_value_2011_moto,travel_value_2011_other,travel_value_2011_taxi,travel_value_2011_train_metro,travel_value_change_all,travel_value_change_bicycle,travel_value_change_bus,travel_value_change_car_van,travel_value_change_foot,travel_value_change_home,travel_value_change_moto,travel_value_change_other,travel_value_change_taxi,travel_value_change_train_metro,tenure_perc_2001_owned,tenure_perc_2001_rent_free,tenure_perc_2001_rented_private,tenure_perc_2001_rented_social,tenure_perc_2001_shared_ownership,tenure_perc_2011_owned,tenure_perc_2011_rent_free,tenure_perc_2011_rented_private,tenure_perc_2011_rented_social,tenure_perc_2011_shared_ownership,tenure_perc_change_owned,tenure_perc_change_rent_free,tenure_perc_change_rented_private,tenure_perc_change_rented_social,tenure_perc_change_shared_ownership,tenure_value_2001_all,tenure_value_2001_owned,tenure_value_2001_rent_free,tenure_value_2001_rented_private,tenure_value_2001_rented_social,tenure_value_2001_shared_ownership,tenure_value_2011_all,tenure_value_2011_owned,tenure_value_2011_rent_free,tenure_value_2011_rented_private,tenure_value_2011_rented_social,tenure_value_2011_shared_ownership,tenure_value_change_all,tenure_value_change_owned,tenure_value_change_rent_free,tenure_value_change_rented_private,tenure_value_change_rented_social,tenure_value_change_shared_ownership,density_value_2001_all,density_value_2011_all,density_value_change_all,agemed_value_2001_all,agemed_value_2011_all,agemed_value_change_all
E06000001,Hartlepool,51.97,48.03,51.37,48.63,-0.6,0.6,88611,46051,42560,92028,47277,44751,3.86,2.66,5.15,13,13.95,10.63,14.94,13.79,12.18,10.36,11.13,11.83,12.96,12.58,11.31,14.92,13.1,10.95,12.35,-1.17,-0.99,1.95,-3.63,1.13,0.92,0.59,1.22,11518,12365,9420,13242,12223,10796,9177,9866,88607,10890,11931,11577,10406,13730,12059,10073,11362,92028,-5.45,-3.51,22.9,-21.42,12.33,11.7,9.76,15.16,3.86,0.68,0.08,0.35,0.07,98.82,1.42,0.18,0.6,0.11,97.69,0.74,0.1,0.25,0.04,-1.13,88611,602,70,311,59,87569,92028,1304,170,550,105,89899,3.86,116.61,142.86,76.85,77.97,2.66,12.3,23.5,64.2,8.14,15.87,75.99,-4.16,-7.63,11.79,88611,10902,20825,56884,92028,7488,14607,69933,3.86,-31.32,-29.86,22.94,47.56,40.82,4.29,1.85,5.47,48.99,34.86,5.7,2.67,7.77,1.43,-5.96,1.41,0.82,2.3,63219,30070,25808,2712,1170,3459,66804,32727,23291,3805,1787,5194,5.67,8.84,-9.75,40.3,52.74,50.16,2.89,8.77,66.36,11.83,6.85,0.73,0.35,1.85,0.35,1.91,6.86,71.72,11.95,2.77,0.48,1.1,1.85,1.36,-0.98,-1.91,5.36,0.12,-4.08,-0.25,0.75,0,1.01,32089,928,2815,21294,3797,2199,235,113,595,113,37767,723,2592,27085,4514,1045,180,414,700,514,17.69,-22.09,-7.92,27.2,18.88,-52.48,-23.4,266.37,17.65,354.87,62.79,2.36,7.97,26.52,0.36,59.84,1.37,14.77,23.53,0.49,-2.95,-0.99,6.8,-2.99,0.13,37521,23558,885,2991,9951,136,40434,24194,554,5971,9515,200,7.76,2.7,-37.4,99.63,-4.38,47.06,9.44,9.8,3.81,37,38,2.7
E06000002,Middlesbrough,52.03,47.97,51.06,48.94,-0.97,0.97,134855,70161,64694,138412,70680,67732,2.64,0.74,4.7,13.14,15.19,12.91,14.38,13.66,11.11,9.11,10.49,12.79,13.4,15.5,11.87,13.64,12.4,9.54,10.85,-0.35,-1.79,2.59,-2.51,-0.02,1.29,0.43,0.36,17717,20491,17417,19398,18421,14988,12281,14150,134863,17707,18549,21455,16430,18883,17166,13211,15011,138412,-0.06,-9.48,23.18,-15.3,2.51,14.53,7.57,6.08,2.63,4.76,0.35,0.94,0.22,93.73,7.78,1.25,1.71,1.08,88.18,3.02,0.9,0.77,0.86,-5.55,134855,6415,477,1269,295,126399,138412,10768,1731,2362,1496,122055,2.64,67.86,262.89,86.13,407.12,-3.44,11.67,23.13,65.2,7.62,14.25,78.14,-4.05,-8.88,12.94,134855,15736,31196,87923,138412,10543,19719,108150,2.64,-33,-36.79,23.01,45.01,41.9,3.94,2.99,6.16,46.11,36.77,5.14,4.39,7.59,1.1,-5.13,1.2,1.4,1.43,96112,43257,40273,3787,2876,5919,100551,46364,36969,5171,4416,7631,4.62,7.18,-8.2,36.55,53.55,28.92,1.99,12.14,67.76,9.78,5.55,0.72,0.24,0.75,1.08,2.56,9.12,68.3,12.95,2.39,0.36,1.17,1.75,1.4,0.57,-3.02,0.54,3.17,-3.16,-0.36,0.93,1,0.32,57428,1140,6972,38911,5618,3185,414,135,432,621,54547,1397,4975,37253,7063,1306,197,637,957,762,-5.02,22.54,-28.64,-4.26,25.72,-59,-52.42,371.85,121.53,22.71,61.05,2.5,7.86,28,0.58,57.21,1.71,16.62,23.87,0.59,-3.84,-0.79,8.76,-4.13,0.01,55487,33877,1388,4363,15536,323,57203,32723,981,9509,13654,336,3.09,-3.41,-29.32,117.95,-12.11,4.02,25.03,25.69,2.64,36,37,2.78
E06000003,Redcar and Cleveland,51.78,48.22,51.43,48.57,-0.35,0.35,139132,72037,67095,135177,69522,65655,-2.84,-3.49,-2.15,12.02,13.6,10.37,14.36,13.53,13.64,10.58,11.91,10.84,12.31,11.63,10.83,14.7,13.23,12.79,13.67,-1.18,-1.29,1.26,-3.53,1.17,-0.41,2.21,1.76,16722,18925,14426,19986,18819,18971,14714,16567,139130,14651,16638,15720,14641,19877,17887,17287,18476,135177,-12.38,-12.08,8.97,-26.74,5.62,-5.71,17.49,11.52,-2.84,0.59,0.07,0.32,0.07,98.94,0.64,0.09,0.63,0.1,98.54,0.05,0.02,0.31,0.03,-0.4,139132,827,98,446,102,137659,135177,869,122,853,130,133203,-2.84,5.08,24.49,91.26,27.45,-3.24,12.13,24.46,63.41,7.84,15.87,76.29,-4.29,-8.59,12.88,139132,16873,34032,88227,135177,10599,21449,103129,-2.84,-37.18,-36.97,16.89,47.94,40.23,4.78,1.86,5.2,49.1,35.94,5.91,2.46,6.59,1.16,-4.29,1.13,0.6,1.39,100045,47960,40246,4778,1857,5204,99177,48694,35647,5864,2439,6533,-0.87,1.53,-11.43,22.73,31.34,25.54,2.22,6.19,69.57,11.35,8.54,0.96,0.31,0.49,0.38,1.59,5.98,74.48,10.17,3.09,0.46,1.3,0.73,2.19,-0.63,-0.21,4.91,-1.18,-5.45,-0.5,0.99,0.24,1.81,45656,1012,2827,31762,5181,3898,437,143,222,174,56354,894,3372,41973,5731,1742,259,733,414,1236,23.43,-11.66,19.28,32.15,10.62,-55.31,-40.73,412.59,86.49,610.34,69.28,1.25,6.17,22.8,0.5,66.61,1.08,12.47,19.41,0.43,-2.67,-0.17,6.3,-3.39,-0.07,57728,39993,721,3564,13163,287,59605,39705,642,7434,11568,256,3.25,-0.72,-10.96,108.59,-12.12,-10.8,5.68,5.52,-2.82,38,40,5.26
E06000004,Stockton-on-Tees,51.17,48.83,50.9,49.1,-0.27,0.27,178408,91285,87123,191610,97528,94082,7.4,6.84,7.99,12.46,13.9,11.55,15.52,14.37,12.5,9.44,10.27,12.16,12.67,13.18,12.24,14.99,13.05,10.64,11.07,-0.3,-1.23,1.63,-3.28,0.62,0.55,1.2,0.8,22225,24797,20614,27689,25630,22293,16846,18320,178414,23295,24276,25253,23448,28731,25008,20393,21206,191610,4.81,-2.1,22.5,-15.32,12.1,12.18,21.06,15.75,7.4,1.9,0.14,0.56,0.16,97.24,3.46,0.59,1.04,0.29,94.62,1.56,0.45,0.48,0.13,-2.62,178408,3387,255,998,284,173484,191610,6632,1133,1997,549,181299,7.4,95.81,344.31,100.1,93.31,4.5,10.41,22.71,66.88,6.33,13.77,79.9,-4.08,-8.94,13.02,178408,18566,40521,119321,191610,12132,26385,153093,7.4,-34.65,-34.89,28.3,51.93,35.96,4.88,2.24,4.98,53.32,31.56,6.36,3.02,5.74,1.39,-4.4,1.48,0.78,0.76,129355,67173,46522,6314,2899,6447,140654,74997,44395,8941,4246,8075,8.73,11.65,-4.57,41.61,46.46,25.25,2.16,7.5,72.88,8.12,7.14,0.94,0.34,0.49,0.42,1.97,5.87,76.42,8.63,3.27,0.48,1.17,0.74,1.46,-0.19,-1.63,3.54,0.51,-3.87,-0.46,0.83,0.25,1.04,76308,1652,5722,55612,6197,5449,721,260,374,321,87122,1715,5115,66582,7518,2847,417,1018,642,1268,14.17,3.81,-10.61,19.73,21.32,-47.75,-42.16,291.54,71.66,295.02,71.29,0.93,5.96,21.42,0.4,68.5,0.84,13.12,17.21,0.32,-2.79,-0.09,7.16,-4.21,-0.08,73245,52216,682,4369,15686,292,79159,54225,667,10387,13625,255,8.07,3.85,-2.2,137.74,-13.14,-12.67,8.75,9.4,7.43,37,38,2.7
E06000005,Darlington,52,48,51.23,48.77,-0.77,0.77,97838,50878,46960,105564,54081,51483,7.9,6.3,9.63,12.26,12.65,10.89,15.07,14,12.86,9.85,12.42,11.99,11.97,12.01,12.58,14.81,12.85,11.26,12.54,-0.27,-0.68,1.12,-2.49,0.81,-0.01,1.41,0.12,11997,12378,10655,14741,13697,12583,9636,12153,97840,12653,12632,12678,13276,15635,13566,11890,13234,105564,5.47,2.05,18.99,-9.94,14.15,7.81,23.39,8.89,7.89,1.17,0.23,0.61,0.13,97.86,2.09,0.34,1.09,0.25,96.24,0.92,0.11,0.48,0.12,-1.62,97838,1146,223,598,130,95741,105564,2205,357,1146,261,101595,7.9,92.41,60.09,91.64,100.77,6.11,10.03,23.61,66.36,5.88,14.32,79.8,-4.15,-9.29,13.44,97838,9814,23099,64925,105564,6203,15116,84245,7.9,-36.79,-34.56,29.76,53.4,34.41,6.26,1.94,3.98,54.66,30.26,7.3,2.55,5.22,1.26,-4.15,1.04,0.61,1.24,70082,37423,24117,4389,1363,2790,76635,41892,23192,5595,1954,4002,9.35,11.94,-3.84,27.48,43.36,43.44,2.11,10.24,66.21,11.06,7.8,0.65,0.37,0.95,0.6,2.39,7,69.23,13.52,4.12,0.39,0.63,0.9,1.83,0.28,-3.24,3.02,2.46,-3.68,-0.26,0.26,-0.05,1.23,45525,959,4661,30143,5037,3553,295,169,434,274,49014,1170,3430,33931,6625,2019,193,309,441,896,7.66,22,-26.41,12.57,31.53,-43.17,-34.58,82.84,1.61,227.01,71.49,1,9.13,18.03,0.34,64.9,0.99,18.24,15.49,0.38,-6.59,-0.01,9.11,-2.54,0.04,42455,30350,426,3878,7655,146,46670,30289,462,8513,7228,178,9.93,-0.2,8.45,119.52,-5.58,21.92,4.95,5.35,8.08,38,39,2.63
E06000006,Halton,51.67,48.33,51.2,48.8,-0.47,0.47,118208,61073,57135,125746,64378,61368,6.38,5.41,7.41,12.73,14.52,12.27,14.91,14.33,13.07,8.69,9.49,12.51,12.45,12.86,12.7,14.56,13.45,11.35,10.11,-0.22,-2.07,0.59,-2.21,0.23,0.38,2.66,0.62,15048,17167,14500,17620,16939,15444,10274,11216,118208,15737,15659,16165,15970,18314,16912,14273,12716,125746,4.58,-8.78,11.48,-9.36,8.12,9.51,38.92,13.37,6.38,0.43,0.11,0.6,0.06,98.79,0.75,0.21,1.08,0.12,97.85,0.32,0.1,0.48,0.06,-0.94,118208,513,132,705,75,116783,125746,943,260,1356,146,123041,6.38,83.82,96.97,92.34,94.67,5.36,11.65,21.83,66.52,7.85,13.92,78.23,-3.8,-7.91,11.71,118208,13770,25807,78631,125746,9865,17504,98377,6.38,-28.36,-32.17,25.11,52.43,36.34,4.62,2.08,4.53,54.28,31.6,5.85,2.72,5.56,1.85,-4.74,1.23,0.64,1.03,85645,44907,31124,3954,1780,3880,92708,50321,29297,5420,2519,5151,8.25,12.06,-5.87,37.08,41.52,32.76,1.99,6.39,74.08,9.19,5.87,1.12,0.26,0.65,0.47,2.11,6.67,75.34,9.44,2.68,0.62,0.54,0.61,1.99,0.12,0.28,1.26,0.25,-3.19,-0.5,0.28,-0.04,1.52,52796,1049,3372,39110,4851,3100,591,135,341,247,57577,1217,3843,43377,5437,1541,355,313,350,1144,9.06,16.02,13.97,10.91,12.08,-50.29,-39.93,131.85,2.64,363.16,65.36,2.14,4.4,27.44,0.67,63.39,1.01,9.78,25.21,0.6,-1.97,-1.13,5.38,-2.23,-0.07,48273,31550,1031,2122,13245,325,53312,33796,541,5212,13441,322,10.44,7.12,-47.53,145.62,1.48,-0.92,14.95,15.9,6.35,36,38,5.56
E06000007,Warrington,50.87,49.13,50.4,49.6,-0.47,0.47,191080,97203,93877,202228,101928,100300,5.83,4.86,6.84,12.69,12.95,11.31,16.72,14.03,13.01,9.28,10,11.8,12.26,12.16,13.01,16.13,12.56,11.09,10.99,-0.89,-0.69,0.85,-3.71,2.1,-0.45,1.81,0.99,24248,24742,21615,31957,26816,24860,17739,19098,191075,23864,24803,24591,26305,32613,25397,22421,22234,202228,-1.58,0.25,13.77,-17.69,21.62,2.16,26.39,16.42,5.84,1.22,0.19,0.6,0.13,97.86,2.43,0.34,1.06,0.24,95.93,1.21,0.15,0.46,0.11,-1.93,191080,2328,363,1144,249,186996,202228,4911,694,2144,487,193992,5.83,110.95,91.18,87.41,95.58,3.74,9.06,20.35,70.59,5.35,12.09,82.56,-3.71,-8.26,11.97,191080,17314,38887,134879,202228,10825,24446,166957,5.83,-37.48,-37.14,23.78,57.02,31.14,6.57,2.35,2.92,57.31,27.9,7.77,3.03,3.99,0.29,-3.24,1.2,0.68,1.07,139054,79288,43302,9136,3264,4064,149461,85657,41696,11617,4530,5961,7.48,8.03,-3.71,27.16,38.79,46.68,2.91,5.3,75.05,6.56,7.36,1.11,0.23,0.44,1.05,2.6,5,76.37,7.56,4.61,0.69,0.51,0.4,2.28,-0.31,-0.3,1.32,1,-2.75,-0.42,0.28,-0.04,1.23,102509,2981,5437,76931,6720,7541,1142,234,450,1073,100856,2618,5039,77020,7626,4648,692,518,400,2295,-1.61,-12.18,-7.32,0.12,13.48,-38.36,-39.4,121.37,-11.11,113.89,75.41,1.57,4.8,17.45,0.77,71.55,0.85,11.22,15.64,0.75,-3.86,-0.72,6.42,-1.81,-0.02,78633,59300,1233,3774,13723,603,85140,60915,721,9549,13318,637,8.28,2.72,-41.52,153.02,-2.95,5.64,10.58,11.19,5.77,37,38,2.7
E06000008,Blackburn with Darwen,51.04,48.96,50.13,49.87,-0.91,0.91,137470,70161,67309,147489,73942,73547,7.29,5.39,9.27,15.61,15.22,12.79,15.07,12.67,11.06,8.07,9.51,14.75,13.93,14.01,13.59,14.05,11.4,9.2,9.07,-0.86,-1.29,1.22,-1.48,1.38,0.34,1.13,-0.44,21464,20917,17580,20715,17418,15211,11088,13077,137470,21756,20540,20669,20044,20719,16816,13573,13372,147489,1.36,-1.8,17.57,-3.24,18.95,10.55,22.41,2.26,7.29,20.8,0.23,0.92,0.13,77.93,28.13,0.63,1.24,0.83,69.16,7.33,0.4,0.32,0.7,-8.77,137470,28588,318,1262,178,107124,147489,41494,933,1823,1230,102009,7.29,45.14,193.4,44.45,591.01,-4.77,11.13,22.22,66.65,7.3,14.05,78.65,-3.83,-8.17,12,137470,15298,30549,91623,147489,10763,20725,116001,7.29,-29.64,-32.16,26.61,48.57,38.66,6.5,2.14,4.13,48.01,35.8,7.66,3.19,5.34,-0.56,-2.86,1.16,1.05,1.21,94322,45809,36461,6131,2021,3900,104417,50132,37384,7997,3329,5575,10.7,9.44,2.53,30.44,64.72,42.95,1.08,7.42,69.11,11.81,7.39,0.89,0.22,1.51,0.57,0.99,5.45,72.07,13.01,3.75,0.53,0.6,1.87,1.73,-0.09,-1.97,2.96,1.2,-3.64,-0.36,0.38,0.36,1.16,58954,635,4376,40746,6964,4355,526,127,890,335,60523,600,3297,43616,7874,2269,322,366,1133,1046,2.66,-5.51,-24.66,7.04,13.07,-47.9,-38.78,188.19,27.3,212.24,70.13,2.43,8.01,18.89,0.54,64.15,1.54,15.68,18.12,0.51,-5.98,-0.89,7.67,-0.77,-0.03,53697,37659,1304,4299,10145,290,57353,36793,886,8993,10391,290,6.81,-2.3,-32.06,109.19,2.42,0,10.03,10.76,7.28,34,35,2.94
E06000009,Blackpool,51.69,48.31,50.89,49.11,-0.8,0.8,142283,73541,68742,142065,72290,69775,-0.15,-1.7,1.5,11.4,11.82,10.49,14.67,12.72,13.36,11.14,14.4,11.02,11.76,12.04,11.52,15.14,12.72,12.07,13.73,-0.38,-0.06,1.55,-3.15,2.42,-0.64,0.93,-0.67,16214,16820,14931,20871,18098,19009,15849,20492,142284,15654,16700,17109,16365,21514,18069,17144,19510,142065,-3.45,-0.71,14.59,-21.59,18.88,-4.95,8.17,-4.79,-0.15,0.76,0.15,0.56,0.12,98.41,1.61,0.24,1.23,0.24,96.67,0.85,0.09,0.67,0.12,-1.74,142283,1075,218,800,174,140016,142065,2282,346,1753,345,137339,-0.15,112.28,58.72,119.12,98.28,-1.91,13.85,25.09,61.05,9.48,16.88,73.64,-4.37,-8.21,12.59,142283,19713,35700,86870,142065,13466,23977,104622,-0.15,-31.69,-32.84,20.44,46.51,37.52,9.7,2.11,4.16,47.26,33.98,9.59,3.06,6.1,0.75,-3.54,-0.11,0.95,1.94,101786,47339,38191,9878,2146,4232,103813,49066,35273,9960,3177,6337,1.99,3.65,-7.64,0.83,48.04,49.74,3.05,9.46,60.05,13.42,10.25,1.04,0.53,1.26,0.94,3.17,8.55,64.14,14.96,5.38,0.92,0.94,1.01,0.93,0.12,-0.91,4.09,1.54,-4.87,-0.12,0.41,-0.25,-0.01,59323,1810,5614,35623,7961,6081,619,313,746,556,61419,1948,5252,39394,9191,3305,562,579,619,569,3.53,7.62,-6.45,10.59,15.45,-45.65,-9.21,84.98,-17.02,2.34,70.53,1.68,17.54,9.6,0.65,61.6,1.1,26.05,10.87,0.37,-8.93,-0.58,8.51,1.27,-0.28,64357,45394,1080,11286,6180,417,64367,39650,709,16770,6999,239,0.02,-12.65,-34.35,48.59,13.25,-42.69,40.79,40.73,-0.15,40,40,0
E06000010,"Kingston upon Hull, City of",51.09,48.91,49.92,50.08,-1.17,1.17,243589,124458,119131,256406,127986,128420,5.26,2.83,7.8,13.12,13.85,14.31,15.16,12.71,10.97,8.99,10.9,12.22,12.23,17.28,13.47,13.88,11.58,9.16,10.18,-0.9,-1.62,2.97,-1.69,1.17,0.61,0.17,-0.72,31962,33730,34853,36924,30959,26724,21900,26541,243593,31332,31360,44314,34532,35598,29695,23479,26096,256406,-1.97,-7.03,27.15,-6.48,14.98,11.12,7.21,-1.68,5.26,1.09,0.36,0.66,0.21,97.68,2.52,1.17,1.35,0.84,94.12,1.43,0.81,0.69,0.63,-3.56,243589,2656,872,1619,503,237939,256406,6471,2996,3454,2164,241321,5.26,143.64,243.58,113.34,330.22,1.42,11.24,23.59,65.17,7.09,14.86,78.05,-4.15,-8.73,12.88,243589,27370,57465,158754,256406,18177,38102,200127,5.26,-33.59,-33.7,26.06,49.02,38.1,4.2,2.45,6.23,50.4,32.78,5.15,3.64,8.02,1.38,-5.32,0.95,1.19,1.79,173804,85193,66220,7307,4259,10825,190610,96076,62480,9814,6944,15296,9.67,12.77,-5.65,34.31,63.04,41.3,9.61,11.47,62.26,8.48,4.44,1.52,0.31,0.99,0.93,8.19,13.12,61.1,11.97,1.91,1.2,0.81,1.05,0.66,-1.42,1.65,-1.16,3.49,-2.53,-0.32,0.5,0.06,-0.27,117017,11245,13416,72856,9919,5196,1784,363,1155,1083,110903,9082,14549,67759,13276,2118,1326,903,1160,730,-5.22,-19.24,8.45,-7,33.84,-59.24,-25.67,148.76,0.43,-32.59,51.9,2.92,11.64,33.07,0.48,49.54,1.5,20.41,28.1,0.45,-2.36,-1.42,8.77,-4.97,-0.03,104786,54384,3057,12192,34655,498,112596,55785,1688,22984,31634,505,7.45,2.58,-44.78,88.52,-8.72,1.41,34.09,35.89,5.28,36,36,0
