lad19cd,lad19nm,typeA,typeB,incomeRank,moranRank,income,moran,flat,leftA,rightA,nshapeA,leftB,rightB,nshapeB
E07000223,Adur,nshape,nshape,,,0.108,0.17,0.038321995,0.08646771,0.071896281,0.017558186,0.211144628,0.1856734,0.022987538
E07000026,Allerdale,flat,flat,,,0.121,0.29,0.007777778,0.059037778,0.038237778,0.020904444,0.139923493,0.103761429,0.053555565
E07000032,Amber Valley,nshape,flat,,,0.109,0.29,0.016042078,0.074081565,0.03972259,0.014673872,0.180461561,0.124373404,0.032023512
E07000224,Arun,nshape,nshape,,,0.104,0.31,0.032639203,0.090988565,0.056009842,0.009143884,0.219818384,0.171301082,0.007480979
E07000170,Ashfield,left,flat,,,0.152,0.15,0.024178232,0.01333553,0.116740935,0.0225058,0.082374291,0.235406131,0.040602268
E07000105,Ashford,nshape,nshape,,,0.11,0.34,0.03477975,0.082998725,0.068280776,0.013847442,0.200258331,0.183139381,0.010373202
E07000004,Aylesbury Vale,right,right,bottom20,top20,0.067,0.47,0.080642722,0.220737505,0.02226794,0.106672287,0.334505373,0.016687434,0.142897224
E07000200,Babergh,right,flat,,,0.08,0.17,0.056378601,0.155794156,0.038683045,0.050101564,0.286373974,0.126002453,0.075583221
E09000002,Barking and Dagenham,left,left,top20,,0.194,0.27,0.187107438,0.110458347,0.345476529,0.208194711,0.153126577,0.467511084,0.255666343
E09000003,Barnet,nshape,nshape,,,0.111,0.36,0.020415085,0.070194516,0.052355654,0.003393094,0.191678004,0.160665272,0.007581969
E08000016,Barnsley,left,flat,top20,,0.169,0.38,0.029066593,0.004035436,0.135817749,0.042942239,0.043390506,0.246749873,0.078433108
E07000027,Barrow-in-Furness,flat,flat,top20,top20,0.159,0.5,0.022032486,0.031545548,0.094239425,0.041037384,0.075836333,0.179002779,0.071421717
E07000066,Basildon,flat,flat,,top20,0.138,0.58,0.021652893,0.051931074,0.073094711,0.047631074,0.118876997,0.13251007,0.091086579
E07000084,Basingstoke and Deane,right,right,bottom20,,0.071,0.4,0.065895127,0.197599163,0.01591109,0.090361549,0.311591547,0.016741419,0.129763407
E07000171,Bassetlaw,flat,flat,,,0.122,0.23,0.012244898,0.047362041,0.058847755,0.015662041,0.13924213,0.15482382,0.041707488
E06000022,Bath and North East Somerset,right,flat,,,0.079,0.21,0.030888469,0.14122673,0.002270208,0.03912673,0.258617963,0.042891964,0.065973747
E06000055,Bedford,flat,flat,,,0.114,0.36,0.011886134,0.067600503,0.037891765,0.013150989,0.166858756,0.121989598,0.036617945
E09000004,Bexley,flat,flat,,top20,0.106,0.57,0.019534622,0.089956266,0.030832978,0.026061745,0.197734692,0.102418095,0.049356247
E08000025,Birmingham,left,left,top20,top20,0.222,0.56,0.112173756,0.052022801,0.25404471,0.149878982,0.017686591,0.347443552,0.191967561
E07000129,Blaby,right,nshape,bottom20,bottom20,0.069,-0.02,0.067777778,0.184304444,0.032971111,0.055037778,0.321655418,0.108060971,0.062730842
E06000008,Blackburn with Darwen,left,left,top20,,0.212,0.42,0.084156503,0.036752767,0.213280239,0.127136283,0.012015552,0.299823525,0.179778085
E06000009,Blackpool,left,left,top20,top20,0.247,0.55,0.11186057,0.035401421,0.270039719,0.1356844,0.018973818,0.38761822,0.173121017
E07000033,Bolsover,left,flat,,bottom20,0.147,0.13,0.046701389,0.034769722,0.140353056,0.041253056,0.116940692,0.264477638,0.065599647
E08000001,Bolton,left,left,top20,top20,0.186,0.54,0.041051422,0.025730631,0.138092213,0.073743625,0.032489341,0.219185167,0.115582444
E07000136,Boston,nshape,nshape,,bottom20,0.128,0,0.057407407,0.069767407,0.126767407,0.032222963,0.183218148,0.26261458,0.030452449
E06000058,"Bournemouth, Christchurch and Poole",nshape,nshape,,,0.112,0.4,0.01547459,0.065956907,0.046712272,0.002638023,0.180015366,0.147482585,0.012566067
E06000036,Bracknell Forest,right,right,bottom20,,0.068,0.42,0.066222222,0.194095556,0.020068889,0.074288889,0.319598683,0.039570065,0.091158129
E08000032,Bradford,left,left,top20,top20,0.189,0.61,0.04516129,0.02282129,0.14922129,0.076308387,0.027367349,0.232618949,0.11641166
E07000067,Braintree,nshape,flat,,,0.092,0.15,0.029871846,0.108961731,0.032501961,0.018516903,0.236664976,0.125927929,0.030514242
E07000143,Breckland,nshape,nshape,,,0.1,0.18,0.048915187,0.11308288,0.066467495,0.023188008,0.247637041,0.191243296,0.025181902
E09000005,Brent,left,nshape,,top20,0.155,0.55,0.06682816,0.041214172,0.174162148,0.047322264,0.132833123,0.313471151,0.049531059
E07000068,Brentwood,right,right,bottom20,bottom20,0.064,0.05,0.074858223,0.213370397,0.018066049,0.090574745,0.334317978,0.02498872,0.119737673
E06000043,Brighton and Hove,nshape,flat,,,0.123,0.33,0.013535354,0.046468081,0.062322626,0.003725657,0.141514656,0.177107761,0.016123211
E06000023,"Bristol, City of",flat,flat,,top20,0.141,0.57,0.007403606,0.034141933,0.062385279,0.025540032,0.096136672,0.131666509,0.064422551
E07000144,Broadland,right,nshape,bottom20,bottom20,0.072,0.01,0.083956916,0.19960263,0.050031202,0.069788345,0.338840668,0.143675695,0.078784223
E09000006,Bromley,right,flat,,top20,0.091,0.5,0.022420057,0.119899347,0.006660768,0.040317113,0.218747178,0.041463098,0.075503484
E07000234,Bromsgrove,right,right,bottom20,bottom20,0.073,0.11,0.067657551,0.198241689,0.018793413,0.09227962,0.308965406,0.017628588,0.129561625
E07000095,Broxbourne,nshape,nshape,,,0.108,0.22,0.025,0.07861,0.05311,0.00701,0.204024397,0.159095359,0.011284487
E07000172,Broxtowe,flat,flat,,,0.097,0.24,0.016048403,0.094204178,0.019612628,0.017061924,0.206334718,0.08851795,0.040859868
E07000117,Burnley,left,left,top20,top20,0.203,0.45,0.057222222,0.015815556,0.180348889,0.089548889,0.020056453,0.278176709,0.139638736
E08000002,Bury,flat,flat,,,0.145,0.33,0.006666667,0.02896,0.066093333,0.01531,0.101077906,0.158328026,0.04070711
E08000033,Calderdale,flat,flat,,top20,0.149,0.48,0.007421875,0.020125625,0.076438125,0.02266625,0.074179663,0.16782794,0.057918789
E07000008,Cambridge,right,flat,,,0.077,0.3,0.05858013,0.159729985,0.039150275,0.066818391,0.279268729,0.065002025,0.085517017
E09000007,Camden,flat,flat,,,0.141,0.35,0.014930183,0.027188679,0.084391686,0.028742814,0.098215014,0.172759733,0.065623611
E07000192,Cannock Chase,nshape,flat,,,0.127,0.21,0.026666667,0.046693333,0.08836,0.02306,0.143100302,0.194000852,0.044436723
E07000106,Canterbury,nshape,flat,,,0.1,0.17,0.023209877,0.084269877,0.043869877,0.014836543,0.20117533,0.142572789,0.030173482
E07000028,Carlisle,flat,flat,,,0.116,0.26,0.019377163,0.06553128,0.054943045,0.025519516,0.159981222,0.141533352,0.055940957
E07000069,Castle Point,nshape,flat,,,0.107,0.33,0.033271776,0.091044057,0.057219495,0.022838793,0.203184919,0.162787455,0.038527502
E06000056,Central Bedfordshire,right,right,,,0.077,0.23,0.04300783,0.161179932,0.006555728,0.057130887,0.27716034,0.042981842,0.086043144
E07000130,Charnwood,right,flat,,,0.084,0.25,0.029680645,0.1340962,0.006985089,0.03809721,0.245895436,0.050408292,0.063430721
E07000070,Chelmsford,right,flat,,bottom20,0.077,0.13,0.041759106,0.15807705,0.007161162,0.052519106,0.275945434,0.045811531,0.08250767
E07000078,Cheltenham,right,flat,,,0.091,0.35,0.031022222,0.129748889,0.014015556,0.057915556,0.220187117,0.035340673,0.097111686
E07000177,Cherwell,right,right,,,0.076,0.41,0.054121864,0.17704638,0.012917348,0.071118423,0.292145783,0.04593059,0.106147274
E06000049,Cheshire East,right,right,,,0.083,0.28,0.045445248,0.158724051,0.013886445,0.070709522,0.26330557,0.027665823,0.112737348
E06000050,Cheshire West and Chester,flat,flat,,,0.108,0.38,0.00991456,0.08146324,0.020085881,0.031146258,0.161968034,0.071287616,0.069025344
E07000034,Chesterfield,left,flat,,,0.153,0.26,0.026654064,0.026499572,0.108528557,0.04744305,0.080228468,0.194843803,0.089652049
E07000225,Chichester,right,flat,,,0.079,0.22,0.036282484,0.143283329,0.011001639,0.033634033,0.272517449,0.071650133,0.05548465
E07000005,Chiltern,right,right,bottom20,,0.053,0.29,0.220406279,0.387196103,0.135336454,0.260359261,0.493227601,0.06722531,0.295857073
E07000118,Chorley,flat,flat,,,0.102,0.34,0.017539027,0.096853572,0.019944481,0.030026299,0.197203895,0.081078857,0.069333583
E09000001,City of London,right,right,bottom20,bottom20,0.065,-0.15,0.4,0.55186,0.32986,0.463426667,0.627037829,0.22159193,0.511557506
E07000071,Colchester,nshape,flat,,,0.099,0.34,0.022176871,0.088694014,0.037379728,0.01438449,0.206194215,0.135618546,0.027713781
E07000029,Copeland,flat,flat,,,0.13,0.19,0.012036651,0.044202774,0.061590529,0.012755835,0.134331517,0.153468711,0.040437429
E07000150,Corby,flat,flat,,,0.136,0.26,0.045746579,0.050167555,0.123045604,0.046652921,0.13467896,0.233051862,0.079389937
E06000052,Cornwall,nshape,nshape,,,0.13,0.24,0.060638338,0.06913024,0.133866436,0.029649872,0.184129009,0.275748801,0.011159025
E07000079,Cotswold,right,right,bottom20,bottom20,0.064,0.12,0.074163783,0.211533587,0.018513979,0.084923783,0.336610087,0.061309769,0.122231305
E06000047,County Durham,left,flat,top20,,0.165,0.3,0.034411675,0.01508649,0.13545686,0.054733403,0.059828719,0.232103316,0.092494374
E08000026,Coventry,flat,flat,,top20,0.154,0.52,0.011005917,0.01774284,0.085988994,0.019837712,0.074662215,0.185790914,0.046272244
E07000163,Craven,right,flat,bottom20,bottom20,0.067,0.09,0.0796875,0.205485,0.03561,0.0950725,0.321557357,0.082339719,0.126933088
E07000226,Crawley,nshape,nshape,,,0.11,0.28,0.06758494,0.105869183,0.111020698,0.043072213,0.236242706,0.224540655,0.037448052
E09000008,Croydon,flat,flat,,top20,0.136,0.49,0.014338843,0.029517025,0.080880661,0.014507934,0.117542933,0.181311813,0.038449457
E07000096,Dacorum,right,flat,,,0.085,0.43,0.023132639,0.120354341,0.007630937,0.029913916,0.238432345,0.055984677,0.056346819
E06000005,Darlington,flat,flat,,,0.153,0.32,0.024260355,0.03130497,0.09893574,0.049697278,0.070127442,0.182999692,0.087255768
E07000107,Dartford,right,flat,,,0.095,0.34,0.018311534,0.102895672,0.015447396,0.017692224,0.21776504,0.083418519,0.033128413
