code,name,1,2,3,4,5,6,7,8,9,10,mean,sdev,type
E06000001,Hartlepool,36.21,15.52,8.62,5.17,6.9,1.72,8.62,6.9,8.62,1.72,3.1897,2.9689,left
E06000002,Middlesbrough,48.84,8.14,6.98,4.65,3.49,3.49,8.14,9.3,5.81,1.16,2.8837,2.9632,left
E06000003,Redcar and Cleveland,23.86,11.36,9.09,12.5,10.23,6.82,5.68,10.23,5.68,4.55,3.8409,2.8723,left
E06000004,Stockton-on-Tees,20.83,8.33,10.83,5.83,6.67,5,7.5,11.67,15,8.33,4.7083,3.2407,ushape
E06000005,Darlington,18.46,13.85,10.77,7.69,6.15,9.23,12.31,3.08,9.23,9.23,4.3154,3.0766,ushape
E06000006,Halton,31.65,17.72,7.59,6.33,5.06,8.86,3.8,12.66,5.06,1.27,3.2975,2.8617,left
E06000007,Warrington,7.87,11.02,8.66,7.87,3.94,5.51,9.45,14.96,16.54,14.17,5.6654,3.0596,ushape
E06000008,Blackburn with Darwen,36.26,19.78,7.69,7.69,5.49,2.2,9.89,7.69,2.2,1.1,2.8187,2.6368,left
E06000009,Blackpool,41.49,17.02,17.02,14.89,5.32,1.06,3.19,0,0,0,1.9149,1.5754,left
E06000010,Kingston upon Hull,45.18,9.04,9.64,12.65,7.23,6.02,4.22,3.61,2.41,0,2.4518,2.3089,left
E06000011,East Riding of Yorkshire,6.19,1.9,5.71,9.05,4.76,13.81,14.29,12.86,11.43,20,6.2571,2.6688,right
E06000012,North East Lincolnshire,30.19,7.55,12.26,7.55,5.66,4.72,12.26,6.6,10.38,2.83,3.7925,3.0268,left
E06000013,North Lincolnshire,10.89,8.91,7.92,8.91,13.86,10.89,14.85,10.89,9.9,2.97,4.8267,2.631,nshape
E06000014,York,0.83,4.17,8.33,3.33,3.33,7.5,10.83,10,17.5,34.17,7.1417,2.5889,right
E06000015,Derby,15.89,17.88,10.6,7.95,7.95,8.61,1.99,5.96,9.27,13.91,4.4073,3.2215,ushape
E06000016,Leicester,20.31,15.1,20.83,14.06,9.9,7.81,6.25,3.13,2.08,0.52,3.0833,2.1619,left
E06000017,Rutland,0,0,0,0,4.35,8.7,13.04,21.74,13.04,39.13,7.9783,1.5629,right
E06000018,Nottingham,30.77,26.37,12.64,8.79,6.59,7.14,3.3,0,3.3,1.1,2.4615,2.1832,left
E06000019,Herefordshire,0.86,6.9,4.31,14.66,31.03,12.07,12.93,10.34,3.45,3.45,5.0259,1.9536,nshape
E06000020,Telford and Wrekin,16.67,9.26,12.04,14.81,3.7,10.19,12.04,10.19,3.7,7.41,4.3333,2.8498,flat
E06000021,Stoke-on-Trent,32.08,19.5,10.06,7.55,6.92,11.32,4.4,2.52,4.4,1.26,2.8711,2.5071,left
E06000022,Bath and North East Somerset,1.74,2.61,3.48,6.96,6.09,13.91,5.22,15.65,14.78,29.57,6.9957,2.4615,right
E06000023,Bristol,15.59,14.45,11.41,11.79,10.27,6.08,11.41,7.22,5.7,6.08,4.135,2.8047,flat
E06000024,North Somerset,5.93,4.44,5.93,4.44,4.44,10.37,14.81,16.3,14.81,18.52,6.3741,2.7083,right
E06000025,South Gloucestershire,0,1.21,3.03,8.48,8.48,9.7,15.76,10.91,11.52,30.91,7.0636,2.2477,right
E06000026,Plymouth,17.39,11.8,14.91,13.66,6.21,6.83,8.07,12.42,7.45,1.24,3.9783,2.7136,left
E06000027,Torbay,15.73,11.24,20.22,13.48,6.74,13.48,11.24,4.49,2.25,1.12,3.6348,2.3267,left
E06000030,Swindon,9.09,6.06,6.82,5.3,9.85,6.82,15.15,18.18,13.64,9.09,5.6818,2.7844,flat
E06000031,Peterborough,14.29,26.79,7.14,10.71,5.36,10.71,8.04,9.82,7.14,0,3.7232,2.6465,left
E06000032,Luton,3.31,23.97,14.88,14.88,17.36,5.79,7.44,8.26,4.13,0,3.8223,2.1841,left
E06000033,Southend-on-Sea,8.41,13.08,11.21,9.35,12.15,4.67,9.35,7.48,12.15,12.15,5.0047,2.9949,flat
E06000034,Thurrock,4.08,7.14,14.29,20.41,12.24,5.1,15.31,9.18,11.22,1.02,4.7653,2.3662,nshape
E06000035,Medway,8.59,14.11,16.56,11.66,9.2,6.75,9.2,11.04,10.43,2.45,4.408,2.6778,flat
E06000036,Bracknell Forest,0,0,1.33,1.33,13.33,9.33,16,12,10.67,36,7.46,1.9689,right
E06000037,West Berkshire,0,1.03,1.03,2.06,2.06,10.31,19.59,16.49,21.65,25.77,7.5722,1.7395,right
E06000038,Reading,5.15,5.15,17.53,14.43,14.43,9.28,9.28,6.19,6.19,12.37,4.9742,2.6618,nshape
E06000039,Slough,0,8.75,18.75,31.25,12.5,13.75,10,5,0,0,4.0375,1.63,nshape
E06000040,Windsor and Maidenhead,0,0,1.12,3.37,8.99,5.62,6.74,12.36,11.24,50.56,7.9831,1.9663,right
E06000041,Wokingham,0,0,0,4.04,1.01,1.01,2.02,8.08,17.17,66.67,8.7727,1.4273,right
E06000042,Milton Keynes,5.26,6.58,6.58,9.87,8.55,11.18,14.47,19.08,11.84,6.58,5.6382,2.5477,flat
E06000043,Brighton and Hove,9.09,8.48,10.3,7.27,9.09,15.15,12.73,13.33,8.48,6.06,5.0515,2.6787,flat
E06000044,Portsmouth,12,12,11.2,23.2,16.8,9.6,4.8,4,4.8,1.6,3.788,2.2426,left
E06000045,Southampton,12.84,16.22,16.22,17.57,10.14,9.46,4.73,9.46,2.7,0.68,3.6149,2.308,left
E06000046,Isle of Wight,3.37,10.11,17.98,21.35,19.1,6.74,13.48,4.49,3.37,0,4.0955,1.9524,nshape
E06000047,County Durham,12.04,21.3,15.43,12.65,9.57,6.79,6.17,5.25,7.1,3.7,3.7623,2.6291,left
E06000049,Cheshire East,1.71,5.98,7.69,6.84,7.26,6.84,10.26,11.54,13.68,28.21,6.6068,2.7455,right
E06000050,Cheshire West and Chester,7.55,8.49,8.96,7.55,6.13,8.96,8.96,12.74,14.15,16.51,5.7311,2.9863,ushape
E06000051,Shropshire,1.04,3.63,3.63,20.21,19.69,14.51,13.47,10.36,8.29,5.18,5.3912,2.075,nshape
E06000052,Cornwall,5.21,7.98,12.27,28.83,16.87,13.19,9.2,4.91,1.53,0,4.0429,1.822,nshape
E06000053,Isles of Scilly,0,0,0,0,0,0,100,0,0,0,6.5,#DIV/0!,nshape
E06000054,Wiltshire,0.35,2.46,3.86,7.02,11.23,15.44,12.63,16.49,18.6,11.93,6.507,2.1428,right
E06000055,Bedford,3.88,9.71,10.68,11.65,9.71,9.71,13.59,12.62,9.71,8.74,5.2961,2.6434,flat
E06000056,Central Bedfordshire,0,1.91,6.37,4.46,7.01,8.92,14.65,9.55,26.75,20.38,7.0287,2.2405,right
E06000057,Northumberland,11.68,8.63,9.14,11.17,11.17,11.17,10.15,6.6,10.66,9.64,4.901,2.869,flat
E06000058,Bournemouth,7.27,10,8.18,17.27,10.91,13.64,10,11.82,8.18,2.73,4.7273,2.4817,nshape
