"code","name_en","dist_en","gov_en","code_alt","name_alt"
"35487","Qbaiyat Aakkar","Akkar","Akkar","1","Kobayat"
"35123","Cheikh Taba","Akkar","Akkar","2","Sheikh Taba"
"35354","Majdala","Akkar","Akkar","3","Majdla"
"35277","Mhammaret","Akkar","Akkar","4","AI Mouhamara"
"53419","Haouch Er-Rafqa","Baalbek","Baalbek-El Hermel","5","Haush AI Rafka"
"34188","Chikka","El Batroun","North","6","Chekka"
"34287","Hamat","El Batroun","North","7","Hamat"
"32125","Bsarma","El Koura","North","8","Bsorma"
"32169","Btouratij","El Koura","North","9","Btoratij"
"32181","Enfeh","El Koura","North","10","Anfeh"
"32187","Barsa","El Koura","North","11","Barsa"
"37271","Minie","El Minieh-Dennie","North","12","Minieh"
"37395","Kfar Bibnine","El Minieh-Dennie","North","13","Kfar Bnin"
"37319","Bqarsouna","El Minieh-Dennie","North","14","Bkarsouna"
"31221","Qalamoun","Tripoli","North","15","AI Qalamoun"
"33251","Miziara","Zgharta","North","16","Mizyara"
"33117","Rachaaine","Zgharta","North","17","Raashin"
"33211","Ehden","Zgharta","North","18","Ehden"
"33111","Zgharta","Zgharta","North","19","Zgharta"
"33271","Miriata","Zgharta","North","20","Meryata"
"26229","Hsoun","Jbeil","Mount Lebanon","21","Hsoun"
"26135","Eddeh Jbayl","Jbeil","Mount Lebanon","22","Edde"
"26384","Tartij","Jbeil","Mount Lebanon","23","Tartj"
"26171","Nahr Ibrahim","Jbeil","Mount Lebanon","24","Nahr Ibrahim"
"26266","Fatre","Jbeil","Mount Lebanon","25","Fatri"
"26129","Blat Jbeil","Jbeil","Mount Lebanon","26","Blat"
"26141","Aamchit","Jbeil","Mount Lebanon","27","Amshit"
"26153","Hasrayel","Jbeil","Mount Lebanon","28","Hesrayel"
"25435","Raachine","Kesrwane","Mount Lebanon","29","Raachin"
"25261","Jaaita","Kesrwane","Mount Lebanon","30","Jeita"
"25166","Bouar","Kesrwane","Mount Lebanon","31","AI Bouar"
"25221","Balloune","Kesrwane","Mount Lebanon","32","Balloune"
"25313","Bourj El-Ftouh","Kesrwane","Mount Lebanon","33","Fatqa"
"22483","Zakrit","El Meten","Mount Lebanon","34","Zekrit"
