code,name_en,dist_en,gov_en,name_alt,2020-10-05_2020-10-12,2020-10-12_2020-10-19
21111,Chiyah,Baabda,Mount Lebanon,Chiyah,54,113
21144,Haret Hreik,Baabda,Mount Lebanon,Haret Hrayk,55,116
21177,Bourj El-Brajneh,Baabda,Mount Lebanon,Borge el Baragenat,,110
21211,Baabda-Louayze,Baabda,Mount Lebanon,Baabda,,109
21219,Hadath Beyrouth,Baabda,Mount Lebanon,Hadath,56,115
21227,Boutchay,Baabda,Mount Lebanon,Boutchay,,111
21251,Kfar Chima,Baabda,Mount Lebanon,Kfarchima,60,117
21259,Ouadi Chahrour Es-Soufla,Baabda,Mount Lebanon,Wadi Chahrour el Soufla,,119
21267,Ouadi Chahrour El Aaoulia,Baabda,Mount Lebanon,Upper Wadi Chahrour,61,118
21283,Bsaba Baabda,Baabda,Mount Lebanon,Bsaba,62,112
21324,Hlaliyeh Baabda,Baabda,Mount Lebanon,AI Hlayliyi,59,
21371,Aaraiya,Baabda,Mount Lebanon,Araya,58,108
21394,Salima Baabda,Baabda,Mount Lebanon,Salima,53,120
21446,Falougha,Baabda,Mount Lebanon,Falougha,57,114
22111,Bourj Hammoud,El Meten,Mount Lebanon,Borge Hammoud,,58
22155,Sinn El-Fil,El Meten,Mount Lebanon,Senn el Fil,,73
22262,Dekouane-Deir Mar Roukoz,El Meten,Mount Lebanon,Dekouanet,,62
22311,Antelias,El Meten,Mount Lebanon,Antelias-Naccache,50,53
22327,Jall Ed-Did-Bqennaya,El Meten,Mount Lebanon,Jal-el-Dib,,66
22335,Naqqach,El Meten,Mount Lebanon,Antelias-Naccache,50,
22351,Zalqa,El Meten,Mount Lebanon,Zalka,35,75
22359,Byaqout,El Meten,Mount Lebanon,Byakout,48,60
22375,Dbaye,El Meten,Mount Lebanon,DbayT,,61
22419,Fanar,El Meten,Mount Lebanon,Fanar,37,65
22423,Aain Saade,El Meten,Mount Lebanon,Ann-SaGdT,,51
22427,Roumiye,El Meten,Mount Lebanon,Roumieh,,72
22439,Bsalim,El Meten,Mount Lebanon,Bsalim,38,59
22443,Nabay,El Meten,Mount Lebanon,Nabay,42,
22447,Mtayleb,El Meten,Mount Lebanon,AI Mtayleb,49,69
22455,Qornet Chehouane,El Meten,Mount Lebanon,Kornet Chahouane,,70
22459,Beit Ech-Chaar,El Meten,Mount Lebanon,Beit Chaar,41,55
22463,Dik El-Mehdi,El Meten,Mount Lebanon,Dik El Mehdi,36,63
22475,Mazraat Yachouaa,El Meten,Mount Lebanon,Mazraat Yachouh,51,67
22483,Zakrit,El Meten,Mount Lebanon,Zekrit,34,74
22511,Bikfaya,El Meten,Mount Lebanon,Bekfaya,39,57
22547,Himlaya,El Meten,Mount Lebanon,Hemleya,45,
22551,aain Aalaq,El Meten,Mount Lebanon,Ann-Alak,,50
22595,Qornet El-Hamra,El Meten,Mount Lebanon,Kornet Hamra,40,71
22659,Baabdat,El Meten,Mount Lebanon,Baabdat,52,54
22667,Beit Meri,El Meten,Mount Lebanon,Beit Mery,,56
22733,Mrouj,El Meten,Mount Lebanon,AI mrouj,47,68
22747,Khinchara,El Meten,Mount Lebanon,Khenchara,43,
22751,Aintoura El-Matn,El Meten,Mount Lebanon,Aintoura,46,52
22761,Douar El-Matn,El Meten,Mount Lebanon,Douar El Metn,44,64
23111,Damour,Chouf,Mount Lebanon,Damour,,40
23211,Chhim,Chouf,Mount Lebanon,Chehim,78,39
23215,Mazboud,Chouf,Mount Lebanon,Mazboud,,46
23231,Ketermaya,Chouf,Mount Lebanon,Katermaya,,44
23239,Aanout,Chouf,Mount Lebanon,Aanout,80,
23251,Barja,Chouf,Mount Lebanon,Barja,73,36
23267,Jiye,Chouf,Mount Lebanon,El Jiyeh,,43
23271,Jadra,Chouf,Mount Lebanon,Jadra,,42
23321,Rmeilet Ech-Chouf,Chouf,Mount Lebanon,Rmayleh,71,
23371,Khirbet Bisri,Chouf,Mount Lebanon,Khribe,70,
23381,Zaarouriyeh,Chouf,Mount Lebanon,Zaarouriye,76,49
23413,Deir El-Qamar,Chouf,Mount Lebanon,Deir Amar,79,41
23439,Kfar Him,Chouf,Mount Lebanon,Kfarhim,72,45
23463,Werhaniye,Chouf,Mount Lebanon,El-Werhaniyeh,,48
23577,Jahliyeh,Chouf,Mount Lebanon,Jahiliyi,74,
23615,Botmeh,Chouf,Mount Lebanon,Botme,69,38
23625,Niha El-Chouf,Chouf,Mount Lebanon,Niha,75,47
