code,name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
UKC,North East,-5,-5.9,-5.4,-6.3,-6.1,-4.3,-4.3,-5,-4.9,-5.8,-6,-6.9,-7,-6.5,-6.8
UKD,North West,-3.4,-4,-4.7,-5.2,-5.6,-3.7,-3.4,-3.4,-3.5,-3.8,-3.8,-4.2,-4.9,-4.8,-5
UKE,Yorkshire-Humber,-0.2,-1.3,-2.3,-2.9,-3.6,-1.8,-1.2,0,-0.3,-0.9,-0.9,-1.3,-1.6,-1.2,-1
UKF,East Midlands,3.7,3.6,3.2,4.5,2.9,3,2.2,2.9,2.2,1.2,1.3,1.7,1.3,1.9,0.9
UKG,West Midlands,1.8,0.8,1.2,0.5,0.8,1.1,0.7,0.5,-0.6,-0.9,-0.7,-0.8,-0.9,-1.9,-2.5
UKH,East of England,4.9,5.2,4.6,4.6,5.7,7.4,7.7,8.2,8.8,8.7,8.5,8.8,9.3,9.9,10
UKI,London,-3.4,-1.8,-2.1,0.1,0.8,-1.7,-1.5,-3.3,0.4,3,4.2,6.1,6.9,5.7,6.8
UKJ,South East,6.4,6.5,7.3,7.4,6.5,6.2,5.6,6,6.4,6.7,6.3,7.2,7.9,8.1,7.3
UKK,South West,6.5,7.2,8.6,8,8.6,8.1,9.1,10,8.7,8.8,9,8.3,7.9,8,8.3
UKL,Wales,3.6,3.1,2.8,1.9,3.3,1.9,1.9,1.5,0.4,-1.2,-0.9,-1.9,-2.5,-2.1,-2.3
UKM,Scotland,0.4,0.4,1.2,1.6,2.1,0.4,-0.3,-0.3,-1.5,-2.3,-3.1,-4.5,-4.6,-4.4,-3.9
UKN,Northern Ireland,0.6,1.9,2.5,0.9,0.5,0.1,0.3,0.5,-1.6,-1.6,-2.1,-4.4,-5,-4,-3.8
