code,name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
UKC,North East,84.6,83.3,83,81.4,81.1,83.2,83.8,83.8,84.1,82.8,82.3,81.2,81,81.1,80.5
UKD,North West,90,89.6,88.9,88.3,87.5,89.1,89.1,89,88.6,88,87.6,87.3,86.8,87.2,87
UKE,Yorkshire and The Humber,88.6,87.7,87.1,86.7,85.5,86.3,85.9,86.4,85.8,84.9,84.6,84.1,83.5,83.8,83.7
UKF,East Midlands,90.9,90.3,89.5,90.4,89.1,89.1,88.4,89.2,88.9,88.3,88.2,87.9,87,87.4,86.6
UKG,West Midlands,89.9,88.4,87.9,86.4,86.4,86.9,87,87.2,86.3,86,86.2,86.2,86.7,86.3,86.3
UKH,East of England,103.6,103.7,102.8,102.3,102.9,104.1,103.6,103.3,103.3,103.1,103.1,103.5,104.2,104.9,105.2
UKI,London,129,131.6,132.6,135.8,136.4,133.4,133.1,130.8,133.9,136.2,137.6,139.6,140.2,138.4,139.1
UKJ,South East,115.6,115.6,116.2,116.2,115.6,115.6,115.1,115.1,115,115.2,114.5,115.2,115.5,115.8,115.2
UKK,South West,99.1,99.4,100.4,99.4,100,99.3,100.2,100.7,99.4,99.2,99.4,98.7,98.5,98.7,99
UKL,Wales,87.5,86.6,85.9,84.5,85.6,84.2,84.8,85.3,84.8,83.2,82.9,81.4,80.7,81.2,81
UKM,Scotland,93.5,93.3,93.7,94.3,95.7,95.3,95.7,96.5,95.9,95.6,94.9,93.1,92.5,92.3,92.7
UKN,Northern Ireland,82.6,83.9,84.4,82.6,81.9,81.4,81.9,82.9,81.3,81.6,81.6,80.3,80.7,82.1,82.1
