code,name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
UKC,North East,89.6,89.2,88.4,87.7,87.2,87.5,88.1,88.8,89,88.6,88.3,88.1,88,87.6,87.3
UKD,North West,93.4,93.6,93.6,93.5,93.1,92.8,92.5,92.4,92.1,91.8,91.4,91.5,91.7,92,92
UKE,Yorkshire and The Humber,88.8,89,89.4,89.6,89.1,88.1,87.1,86.4,86.1,85.8,85.5,85.4,85.1,85,84.7
UKF,East Midlands,87.2,86.7,86.3,85.9,86.2,86.1,86.2,86.3,86.7,87.1,86.9,86.2,85.7,85.5,85.7
UKG,West Midlands,88.1,87.6,86.7,85.9,85.6,85.8,86.3,86.7,86.9,86.9,86.9,87,87.6,88.2,88.8
UKH,East of England,98.7,98.5,98.2,97.7,97.2,96.7,95.9,95.1,94.5,94.4,94.6,94.7,94.9,95,95.2
UKI,London,132.4,133.4,134.7,135.7,135.6,135.1,134.6,134.1,133.5,133.2,133.4,133.5,133.3,132.7,132.3
UKJ,South East,109.2,109.1,108.9,108.8,109.1,109.4,109.5,109.1,108.6,108.5,108.2,108,107.6,107.7,107.9
UKK,South West,92.6,92.2,91.8,91.4,91.4,91.2,91.1,90.7,90.7,90.4,90.4,90.4,90.6,90.7,90.7
UKL,Wales,83.9,83.5,83.1,82.6,82.3,82.3,82.9,83.8,84.4,84.4,83.8,83.3,83.2,83.3,83.3
UKM,Scotland,93.1,92.9,92.5,92.7,93.6,94.9,96,96.8,97.4,97.9,98,97.6,97.1,96.7,96.6
UKN,Northern Ireland,82,82,81.9,81.7,81.4,81.3,81.6,82.4,82.9,83.2,83.7,84.7,85.7,86.1,85.9
