code,value
UKC11,81.7
UKC12,74.7
UKC13,81.2
UKC14,78.4
UKC21,96.8
UKC22,78.7
UKC23,75.8
UKD11,89.4
UKD12,103.1
UKD33,70.4
UKD34,100.4
UKD35,91.8
UKD36,78.5
UKD37,77.5
UKD41,65.1
UKD42,75.7
UKD44,83
UKD45,93.7
UKD46,76.8
UKD47,92.7
UKD61,96.1
UKD62,116.2
UKD63,103.4
UKD71,79.2
UKD72,75.1
UKD73,92.6
UKD74,90.2
UKE11,66.5
UKE12,96.4
UKE13,78.4
UKE21,93.7
UKE22,105.9
UKE31,79.6
UKE32,76.6
UKE41,72.6
UKE42,86.4
UKE44,81.1
UKE45,81.2
UKF11,75.6
UKF12,79.3
UKF13,95.7
UKF14,62.2
UKF15,83.4
UKF16,96.1
UKF21,62.9
UKF22,93.6
UKF24,103.2
UKF25,93.9
UKF30,87.4
UKG11,97
UKG12,101.7
UKG13,110.3
UKG21,80.7
UKG22,98.8
UKG23,73.4
UKG24,92.2
UKG31,72.4
UKG32,114.4
UKG33,72.7
UKG36,80
UKG37,68.3
UKG38,73.9
UKG39,73.8
UKH11,85.1
UKH12,110.9
UKH14,96.6
UKH15,84.8
UKH16,89.8
UKH17,91
UKH21,77
UKH23,128.2
UKH24,104.2
UKH25,104.4
UKH31,99.8
UKH32,89.9
UKH34,95.7
UKH35,123.4
UKH36,122
UKH37,101.8
UKI31,224.6
UKI32,259.8
UKI33,299.8
UKI34,187.5
UKI41,100
UKI42,122.9
UKI43,144.5
UKI44,118.7
UKI45,137.4
UKI51,111.6
UKI52,97.9
UKI53,111
UKI54,107.2
UKI61,139.8
UKI62,112.6
UKI63,132.6
UKI71,146
UKI72,118.9
UKI73,133.7
UKI74,120.5
UKI75,153
UKJ11,118.8
UKJ12,102.9
UKJ13,142.5
UKJ14,118.8
UKJ21,106.3
UKJ22,108.4
UKJ25,145.7
UKJ26,142
UKJ27,110.3
UKJ28,117.5
UKJ31,77.2
UKJ32,80.5
UKJ34,87
UKJ35,100
UKJ36,124.6
UKJ37,120.2
UKJ41,89.5
UKJ43,97.6
UKJ44,91.8
UKJ45,105.2
UKJ46,131
UKK11,93.3
UKK12,107.2
UKK13,106.8
UKK14,93.8
UKK15,106.7
UKK21,101.1
UKK22,107.8
UKK23,96.8
UKK30,88
UKK41,83.2
UKK42,87.2
UKK43,96.9
UKL11,83.4
UKL12,77
UKL13,83.2
UKL14,80.4
UKL15,74.8
UKL16,73.8
UKL17,78.7
UKL18,74.6
UKL21,89.5
UKL22,83.8
UKL23,89.3
UKL24,86.7
UKM50,102.6
UKM61,93.2
UKM62,92.6
UKM63,88.9
UKM64,84.9
UKM65,89
UKM66,99
UKM71,85.8
UKM72,88.8
UKM73,103.6
UKM75,110.7
UKM76,87
UKM77,102.1
UKM78,86.5
UKM81,98.8
UKM82,81.2
UKM83,93.5
UKM84,83.1
UKM91,95.9
UKM92,87.6
UKM93,82
UKM94,93.9
UKM95,90.4
