code,value
UKC11,96.49
UKC12,80.37
UKC13,99.24
UKC14,84.98
UKC21,78.89
UKC22,82.97
UKC23,105.99
UKD11,86.55
UKD12,86.06
UKD33,93.47
UKD34,99.64
UKD35,86.85
UKD36,84.75
UKD37,75.06
UKD41,79.97
UKD42,81.79
UKD44,86.5
UKD45,94.65
UKD46,96.87
UKD47,81.84
UKD61,93.33
UKD62,120.58
UKD63,98.69
UKD71,94.99
UKD72,92.23
UKD73,89.11
UKD74,86.26
UKE11,85.43
UKE12,87.23
UKE13,84.85
UKE21,100.97
UKE22,78.86
UKE31,78.21
UKE32,86.39
UKE41,77.9
UKE42,94.94
UKE44,80.32
UKE45,80.03
UKF11,92.11
UKF12,90.75
UKF13,85.69
UKF14,83.56
UKF15,77.5
UKF16,97.33
UKF21,84.12
UKF22,91.37
UKF24,90.06
UKF25,74.33
UKF30,81.22
UKG11,69.08
UKG12,81.82
UKG13,105.31
UKG21,93.6
UKG22,76.55
UKG23,77.72
UKG24,82.78
UKG31,92.17
UKG32,137.89
UKG33,102.76
UKG36,76.6
UKG37,78.48
UKG38,72.79
UKG39,73.8
UKH11,93.01
UKH12,95.96
UKH14,95.43
UKH15,88.99
UKH16,83.92
UKH17,84.33
UKH21,102.97
UKH23,99.79
UKH24,88.32
UKH25,99.72
UKH31,72.66
UKH32,97.56
UKH34,87.13
UKH35,101.64
UKH36,98.69
UKH37,100.89
UKI31,160.79
UKI32,148.14
UKI33,121.49
UKI34,101.68
UKI41,95.78
UKI42,180.5
UKI43,120.97
UKI44,97.89
UKI45,137.73
UKI51,125.85
UKI52,103.76
UKI53,105.56
UKI54,115.67
UKI61,123.23
UKI62,117.52
UKI63,105.44
UKI71,107.62
UKI72,103.26
UKI73,120.39
UKI74,121.92
UKI75,161.38
UKJ11,134.87
UKJ12,120.63
UKJ13,99.81
UKJ14,95.84
UKJ21,92.9
UKJ22,74.75
UKJ25,124.03
UKJ26,131.48
UKJ27,96.05
UKJ28,95.41
UKJ31,96.38
UKJ32,114.31
UKJ34,79.44
UKJ35,107.65
UKJ36,100.22
UKJ37,140.2
UKJ41,101.01
UKJ43,91.85
UKJ44,85.77
UKJ45,85.18
UKJ46,117.51
UKK11,90.47
UKK12,105.15
UKK13,87.47
UKK14,141.05
UKK15,94.33
UKK21,89.35
UKK22,88.27
UKK23,78.98
UKK30,75.73
UKK41,86.76
UKK42,75.71
UKK43,84.91
UKL11,72.61
UKL12,78.42
UKL13,70.04
UKL14,73.49
UKL15,84.47
UKL16,83.93
UKL17,91.54
UKL18,85.41
UKL21,86.18
UKL22,96.19
UKL23,83.55
UKL24,59.66
UKM50,107.27
UKM61,95.21
UKM62,96.81
UKM63,90.57
UKM64,84.21
UKM65,106.99
UKM66,105.69
UKM71,89.29
UKM72,100.59
UKM73,89.77
UKM75,125.29
UKM76,104.61
UKM77,107.76
UKM78,103.68
UKM81,92.68
UKM82,85.11
UKM83,81.58
UKM84,94.42
UKM91,76.58
UKM92,78.45
UKM93,77.15
UKM94,76.59
UKM95,78.29
