code,name,inc,incIndex,pro,proIndex
UKC11,Hartlepool and Stockton-on-Tees,"17,243",81.7,33.8,96.5
UKC12,South Teesside,"15,764",74.7,28.2,80.4
UKC13,Darlington,"17,140",81.2,34.8,99.2
UKC14,Durham CC,"16,542",78.4,29.8,85
UKC21,Northumberland,"20,437",96.8,27.6,78.9
UKC22,Tyneside,"16,605",78.7,29.1,83
UKC23,Sunderland,"16,000",75.8,37.1,106
UKD11,West Cumbria,"18,879",89.4,30.3,86.6
UKD12,East Cumbria,"21,764",103.1,30.2,86.1
UKD33,Manchester,"14,864",70.4,32.7,93.5
UKD34,Greater Manchester South West,"21,188",100.4,34.9,99.6
UKD35,Greater Manchester South East,"19,369",91.8,30.4,86.9
UKD36,Greater Manchester North West,"16,577",78.5,29.7,84.8
UKD37,Greater Manchester North East,"16,357",77.5,26.3,75.1
UKD41,Blackburn with Darwen,"13,741",65.1,28,80
UKD42,Blackpool,"15,986",75.7,28.7,81.8
UKD44,Lancaster and Wyre,"17,525",83,30.3,86.5
UKD45,Mid Lancashire,"19,786",93.7,33.2,94.7
UKD46,East Lancashire,"16,206",76.8,33.9,96.9
UKD47,Chorley and West Lancashire,"19,568",92.7,28.7,81.8
UKD61,Warrington,"20,291",96.1,32.7,93.3
UKD62,Cheshire East,"24,524",116.2,42.2,120.6
UKD63,Cheshire West and Chester,"21,818",103.4,34.6,98.7
UKD71,East Merseyside,"16,720",79.2,33.3,95
UKD72,Liverpool,"15,848",75.1,32.3,92.2
UKD73,Sefton,"19,551",92.6,31.2,89.1
UKD74,Wirral,"19,048",90.2,30.2,86.3
UKE11,"Kingston upon Hull, City of","14,032",66.5,29.9,85.4
UKE12,East Riding of Yorkshire,"20,350",96.4,30.6,87.2
UKE13,North and North East Lincolnshire,"16,549",78.4,29.7,84.9
UKE21,York,"19,777",93.7,35.4,101
UKE22,North Yorkshire CC,"22,354",105.9,27.6,78.9
UKE31,"Barnsley, Doncaster and Rotherham","16,799",79.6,27.4,78.2
UKE32,Sheffield,"16,179",76.6,30.3,86.4
UKE41,Bradford,"15,319",72.6,27.3,77.9
UKE42,Leeds,"18,236",86.4,33.3,94.9
UKE44,Calderdale and Kirklees,"17,124",81.1,28.1,80.3
UKE45,Wakefield,"17,135",81.2,28,80
UKF11,Derby,"15,964",75.6,32.3,92.1
UKF12,East Derbyshire,"16,731",79.3,31.8,90.8
UKF13,South and West Derbyshire,"20,195",95.7,30,85.7
UKF14,Nottingham,"13,138",62.2,29.3,83.6
UKF15,North Nottinghamshire,"17,596",83.4,27.2,77.5
UKF16,South Nottinghamshire,"20,283",96.1,34.1,97.3
UKF21,Leicester,"13,269",62.9,29.5,84.1
UKF22,Leicestershire CC and Rutland,"19,752",93.6,32,91.4
UKF24,West Northamptonshire,"21,774",103.2,31.6,90.1
UKF25,North Northamptonshire,"19,830",93.9,26,74.3
UKF30,Lincolnshire,"18,446",87.4,28.5,81.2
UKG11,"Herefordshire, County of","20,478",97,24.2,69.1
UKG12,Worcestershire,"21,468",101.7,28.7,81.8
UKG13,Warwickshire,"23,285",110.3,36.9,105.3
UKG21,Telford and Wrekin,"17,033",80.7,32.8,93.6
UKG22,Shropshire CC,"20,851",98.8,26.8,76.6
UKG23,Stoke-on-Trent,"15,485",73.4,27.2,77.7
UKG24,Staffordshire CC,"19,454",92.2,29,82.8
UKG31,Birmingham,"15,281",72.4,32.3,92.2
UKG32,Solihull,"24,146",114.4,48.3,137.9
UKG33,Coventry,"15,353",72.7,36,102.8
