lad21cd,lad21nm,party,gdhi_2018,gdhi_rank,gdhi_quintile,2014,2015,2016,2017,2018,2019,2020,2021
K02000001,United Kingdom,NA,21109,NA,NA,41.1,46.5,56.1,58.7,64.2,67.4,68.0,68.3
E06000001,Hartlepool,NOC,16199,340,1,131.7,145.9,170.2,198.9,257.4,323.5,289.9,351.7
E06000002,Middlesbrough,NOC,15469,361,1,574.9,535.5,539.5,361.2,405.6,453.3,375.1,392.0
E06000003,Redcar and Cleveland,NOC,16068,343,1,2.2,5.2,33.2,30.9,52.7,70.7,80.9,73.0
E06000004,Stockton-on-Tees,NOC,17737,274,2,297.8,357.2,444.0,346.1,421.9,471.2,324.2,337.2
E06000005,Darlington,NOC,17140,296,2,0.0,1.9,0.0,24.4,88.2,89.9,184.4,106.6
E06000006,Halton,LAB,17164,294,2,0.0,1.6,1.6,3.1,0.0,32.5,150.3,185.3
E06000007,Warrington,LAB,20291,174,3,0.0,1.0,1.0,7.6,8.1,8.6,11.9,13.3
E06000008,Blackburn with Darwen,LAB,13741,372,1,189.9,202.2,222.3,217.1,253.1,225.8,210.0,182.9
E06000009,Blackpool,LAB,15986,347,1,2.8,3.6,4.3,5.0,4.3,0.0,0.0,2.2
E06000010,"Kingston upon Hull, City of",LAB,14032,371,1,99.8,100.9,130.4,151.9,181.5,190.5,191.8,195.6
E06000011,East Riding of Yorkshire,CON,20350,173,3,1.2,0.0,0.0,0.0,0.9,0.0,0.0,0.0
E06000012,North East Lincolnshire,CON,16183,341,1,0.0,0.6,0.0,13.8,36.3,45.1,47.7,58.1
E06000013,North Lincolnshire,CON,16889,308,1,0.0,0.0,0.6,0.0,0.0,0.6,1.7,1.2
E06000014,York,NOC,19777,194,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6
E06000015,Derby,NOC,15964,348,1,189.8,238.3,289.2,292.6,312.6,308.6,318.1,268.8
E06000016,Leicester,LAB,13269,373,1,229.3,247.4,266.9,254.3,248.0,230.6,226.5,212.8
E06000017,Rutland,CON,22119,125,4,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0
E06000018,Nottingham,LAB,13138,374,0,190.2,248.0,297.7,301.0,269.1,260.4,251.9,226.5
E06000019,"Herefordshire, County of",NOC,20478,168,3,1.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
E06000020,Telford and Wrekin,LAB,17033,303,1,2.4,1.7,1.7,2.3,3.9,2.2,3.3,4.9
E06000021,Stoke-on-Trent,NOC,15485,360,1,176.9,248.3,303.2,352.0,362.7,370.6,367.1,327.4
E06000022,Bath and North East Somerset,LD,23107,99,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5
E06000023,"Bristol, City of",LAB,19692,198,3,63.1,61.7,70.6,61.4,59.6,55.9,52.6,55.2
E06000024,North Somerset,NOC,23047,101,4,0.0,0.0,0.5,0.5,0.9,0.9,2.3,2.7
E06000025,South Gloucestershire,CON,21979,130,4,14.0,19.7,17.0,23.3,22.6,24.2,27.1,25.3
E06000026,Plymouth,LAB,17555,281,2,85.2,89.9,101.8,80.2,82.5,108.7,113.0,93.7
E06000027,Torbay,NOC,18412,252,2,0.8,0.7,0.0,0.0,0.7,1.5,0.7,0.7
E06000030,Swindon,CON,19804,191,3,41.7,48.7,76.9,75.8,66.7,68.0,87.9,97.8
E06000031,Peterborough,NOC,17968,270,2,68.8,70.7,76.8,84.5,101.0,98.9,88.3,93.8
E06000032,Luton,LAB,16257,337,1,20.5,34.2,31.5,48.9,76.1,64.8,73.5,89.0
E06000033,Southend-on-Sea,NOC,21064,156,3,5.0,3.9,5.0,8.3,8.8,27.3,29.5,36.0
E06000034,Thurrock,CON,18976,224,3,18.3,19.3,22.6,19.4,41.2,64.2,100.3,125.4
E06000035,Medway,CON,18885,228,2,1.1,1.8,2.5,0.7,1.1,1.8,2.9,5.0
E06000036,Bracknell Forest,CON,22796,106,4,2.5,2.5,3.3,3.3,0.0,0.0,0.8,4.0
E06000037,West Berkshire,CON,26745,49,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E06000038,Reading,LAB,22351,119,4,5.6,8.7,6.1,6.7,4.9,13.0,14.3,28.0
E06000039,Slough,LAB,18831,230,2,22.9,32.2,14.9,14.8,21.5,31.4,44.1,70.3
E06000040,Windsor and Maidenhead,CON,31202,16,5,0.7,3.4,0.0,2.0,0.0,2.0,2.0,0.0
E06000041,Wokingham,CON,27792,43,5,0.0,0.6,0.0,0.0,0.0,0.6,0.6,1.7
E06000042,Milton Keynes,NOC,21717,138,4,4.2,6.5,4.1,4.1,5.2,3.7,3.7,3.3
E06000043,Brighton and Hove,NOC,22437,118,4,7.1,7.7,5.6,4.9,8.6,7.6,20.6,21.0
E06000044,Portsmouth,NOC,16297,334,1,63.0,60.8,66.6,63.8,76.2,104.2,116.9,114.6
E06000045,Southampton,LAB,16994,304,1,36.3,27.2,36.3,46.8,62.5,60.6,55.0,62.1
E06000046,Isle of Wight,CON,18366,255,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E06000047,County Durham,LAB,16542,326,1,0.4,0.0,0.0,0.8,1.1,0.0,0.2,0.6
E06000049,Cheshire East,NOC,24524,72,5,0.0,0.3,0.0,0.0,1.3,10.7,9.6,27.9
E06000050,Cheshire West and Chester,NOC,21818,134,4,0.3,0.0,2.4,7.7,15.0,23.3,39.3,40.7
E06000051,Shropshire,CON,20851,159,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E06000052,Cornwall,NOC,18537,247,2,0.0,0.2,0.0,0.0,0.7,0.9,0.9,0.0
E06000053,Isles of Scilly,IND,26284,52,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E06000054,Wiltshire,CON,22522,113,4,0.0,0.6,0.6,0.4,1.4,0.0,1.0,2.3
E06000055,Bedford,NOC,21986,129,4,7.3,7.2,11.3,3.5,2.9,5.8,2.9,7.4
E06000056,Central Bedfordshire,CON,22037,127,4,1.1,0.4,0.0,0.4,3.9,4.2,3.4,5.1
E06000057,Northumberland,NOC,20437,169,3,0.3,0.0,0.0,7.5,25.0,39.4,64.2,78.1
E06000058,"Bournemouth, Christchurch and Poole",NOC,21593,144,4,0.5,1.5,1.8,2.0,1.8,2.0,1.8,3.0
E06000059,Dorset,CON,22680,110,4,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0
E06000060,Buckinghamshire,CON,30050,21,5,4.0,7.8,6.9,6.7,6.3,6.4,6.4,8.4
E06000061,North Northamptonshire,CON,21798,135,4,2.1,2.4,2.4,4.7,2.0,2.9,4.9,6.1
E06000062,West Northamptonshire,CON,19827,188,3,4.4,3.3,2.3,2.3,2.7,1.7,1.7,3.2
E07000008,Cambridge,LAB,24269,77,4,2.4,0.0,0.0,0.0,4.8,4.0,4.0,3.2
E07000009,East Cambridgeshire,CON,23222,97,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2
E07000010,Fenland,CON,18222,261,2,1.0,7.1,3.0,0.0,0.0,0.0,0.0,1.9
E07000011,Huntingdonshire,CON,22194,122,4,0.0,0.0,0.0,0.0,2.3,1.7,0.0,0.0
E07000012,South Cambridgeshire,LD,27554,45,5,1.3,1.9,0.6,0.0,0.0,0.0,0.0,0.6
E07000026,Allerdale,NOC,19804,191,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E07000027,Barrow-in-Furness,LAB,17485,284,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E07000028,Carlisle,NOC,18783,233,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8
E07000029,Copeland,LAB,18927,226,2,0.0,0.0,0.0,0.0,1.5,0.0,1.5,1.5
E07000030,Eden,NOC,21402,150,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
