date,Number of deaths,Expected deaths,numberID
06/01/2023,14978,12351,1
13/01/2023,17381,14088,2
20/01/2023,15804,13295,3
27/01/2023,14141,12789,4
03/02/2023,13411,12308,5
10/02/2023,12671,11962,6
17/02/2023,12032,11853,7
24/02/2023,11955,11633,8
03/03/2023,12046,11371,9
10/03/2023,11410,11665,10
17/03/2023,12133,11367,11
24/03/2023,12044,10995,12
31/03/2023,11581,10020,13
07/04/2023,10086,10410,14
14/04/2023,10011,10940,15
21/04/2023,12417,10414,16
28/04/2023,12152,10869,17
05/05/2023,10142,10051,18
12/05/2023,10367,10245,19
19/05/2023,11653,10749,20
26/05/2023,11114,10411,21
02/06/2023,8838,7982,22
09/06/2023,10944,10873,23
16/06/2023,10697,10132,24
23/06/2023,10478,9861,25
30/06/2023,10376,9722,26
07/07/2023,9739,9855,27
14/07/2023,10030,9863,28
21/07/2023,9660,9955,29
28/07/2023,9688,10080,30
04/08/2023,10034,10076,31
11/08/2023,9991,10051,32
18/08/2023,10064,10111,33
25/08/2023,10084,10228,34
01/09/2023,8441,8971,35
08/09/2023,10164,10215,36
15/09/2023,10356,10539,37
22/09/2023,10387,10014,38
29/09/2023,9981,10458,39
06/10/2023,10100,10783,40
13/10/2023,10547,11046,41
20/10/2023,10387,11348,42
27/10/2023,10446,11091,43
03/11/2023,10982,11384,44
10/11/2023,11490,11712,45
17/11/2023,11265,11740,46
24/11/2023,11384,11552,47
01/12/2023,11325,11598,48
08/12/2023,11320,11809,49
15/12/2023,11958,12295,50
22/12/2023,13211,13407,51
29/12/2023,7448,8677,52
05/01/2024,11945,13460,53
12/01/2024,13713,15399,54
19/01/2024,12812,14424,55
26/01/2024,12732,13587,56
02/02/2024,12664,13102,57
09/02/2024,12529,12776,58
16/02/2024,11817,12578,59
23/02/2024,11788,12377,60
01/03/2024,11517,12432,61
08/03/2024,11574,12178,62
15/03/2024,11368,12123,63
22/03/2024,11249,11937,64
29/03/2024,9391,11239,65
05/04/2024,9701,11015,66
12/04/2024,12334,11222,67
19/04/2024,11880,11656,68
26/04/2024,11173,12301,69
03/05/2024,11076,10912,70
10/05/2024,9620,11545,71
17/05/2024,11255,12013,72
24/05/2024,10912,11627,73
31/05/2024,8675,8816,74
07/06/2024,10926,12067,75
14/06/2024,10493,11323,76
21/06/2024,10459,10984,77
28/06/2024,10609,10814,78
05/07/2024,10333,10791,79
12/07/2024,10532,10843,80
19/07/2024,10182,10874,81
26/07/2024,10169,10985,82
02/08/2024,10265,11035,83
09/08/2024,10025,10959,84
16/08/2024,9846,11116,85
23/08/2024,9825,11187,86
30/08/2024,8040,9709,87
06/09/2024,10066,11054,88
13/09/2024,9829,11484,89
20/09/2024,9425,10921,90
27/09/2024,10097,11311,91
04/10/2024,10390,11574,92
11/10/2024,10685,11892,93
18/10/2024,10785,12090,94
25/10/2024,11014,11869,95
01/11/2024,10643,12278,96
08/11/2024,11134,12565,97
15/11/2024,11046,12503,98
22/11/2024,10934,12381,99
